series_code,prefix,sa,state,area,supersector_industry,data_type,bls_ind_name,emp_2020_02,emp_2020_08,unemp_chg_pct
SMU17000001500000001,SM,U,17,00000,15000000,01,"Mining, Logging and Construction",205300,236600,0.15245981490501706
SMU17000002000000001,SM,U,17,00000,20000000,01,Construction,197800,229500,0.160262891809909
SMU17000003000000001,SM,U,17,00000,30000000,01,Manufacturing,573300,559900,-0.023373451944880518
SMU17000004000000001,SM,U,17,00000,40000000,01,"Trade, Transportation, and Utilities",1183500,1153500,-0.025348542458808618
SMU17000005000000001,SM,U,17,00000,50000000,01,Information,96000,86600,-0.09791666666666667
SMU17000005500000001,SM,U,17,00000,55000000,01,Financial Activities,409600,405100,-0.010986328125
SMU17000006000000001,SM,U,17,00000,60000000,01,Professional and Business Services,910400,891000,-0.021309314586994726
SMU17000006500000001,SM,U,17,00000,65000000,01,Education and Health Services,955800,882600,-0.07658505963590709
SMU17000007000000001,SM,U,17,00000,70000000,01,Leisure and Hospitality,592600,503200,-0.15086061424232197
SMU17000008000000001,SM,U,17,00000,80000000,01,Other Services,255500,239500,-0.06262230919765166
SMU17000009000000001,SM,U,17,00000,90000000,01,Government,836300,765700,-0.08441946669855314
