series_code,prefix,sa,state,area,supersector_industry,data_type,bls_ind_name,emp_2020_02,emp_2020_08,unemp_chg_pct
SMU36000001500000001,SM,U,36,00000,15000000,01,"Mining, Logging and Construction",383800,387300,0.009119332985930172
SMU36000002000000001,SM,U,36,00000,20000000,01,Construction,379100,382500,0.008968609865470852
SMU36000003000000001,SM,U,36,00000,30000000,01,Manufacturing,436600,399600,-0.0847457627118644
SMU36000004000000001,SM,U,36,00000,40000000,01,"Trade, Transportation, and Utilities",1520100,1347300,-0.11367673179396093
SMU36000005000000001,SM,U,36,00000,50000000,01,Information,273600,266000,-0.027777777777777776
SMU36000005500000001,SM,U,36,00000,55000000,01,Financial Activities,719300,696600,-0.03155845961351314
SMU36000006000000001,SM,U,36,00000,60000000,01,Professional and Business Services,1372800,1226400,-0.10664335664335664
SMU36000006500000001,SM,U,36,00000,65000000,01,Education and Health Services,2196900,1937400,-0.11812098866584733
SMU36000007000000001,SM,U,36,00000,70000000,01,Leisure and Hospitality,911200,609000,-0.3316505706760316
SMU36000008000000001,SM,U,36,00000,80000000,01,Other Services,419900,356000,-0.15217909025958562
SMU36000009000000001,SM,U,36,00000,90000000,01,Government,1493000,1354000,-0.09310113864701942
