county_name,group,type,status,pop_num_est,pop_num_moe_90,wage_earners_num_est,wage_earners_num_moe_90,risk_earners_num_est,risk_earners_num_moe_90,households_est,households_moe_90,lost_wages_agg_monthly_est,lost_wages_agg_monthly_moe_90,ui_benefits_reg_agg_monthly_est,ui_benefits_reg_agg_monthly_moe_90,ui_benefits_extra300_agg_monthly_est,ui_benefits_extra300_agg_monthly_moe_90,ui_benefits_all300_agg_monthly_est,ui_benefits_all300_agg_monthly_moe_90,rent_monthly_tot_est,rent_monthly_tot_moe_90,rent_monthly_avg_est,rent_monthly_avg_moe_90,rent_need_tot_monthly_est,rent_need_tot_monthly_moe_90,rent_need_ui_reg_tot_monthly_est,rent_need_ui_reg_tot_monthly_moe_90,rent_need_ui_all300_tot_monthly_est,rent_need_ui_all300_tot_monthly_moe_90
McLean,renter,ui,vulnerable,4684,751.0606306091177,3404.5,633.2528414375556,2191.5,526.8403810534464,1901,457.0023800921085,5321615.666666666,1710169.5155507307,1762402,495997.5383189488,2344200,570598.0371260559,4106602,1014284.2876353757,1644610.5,454273.7879337836,874.2093992257677,111.95465970534963,1143668.5,334464.0459908182,809465.9583333335,274592.4678987446,117672.79166666669,93095.52110369923
McLean,renter,sevburden,vulnerable,1545,450.36508371646187,1147.5,381.6601443078371,670.5,291.74487271096837,623,273.6597760661384,429663.75,226669.51801849087,168134,98816.0884580412,515400,303254.0138676455,683534,394648.16279125586,700379.5,348036.3368008814,1189.6698568893082,248.31785593542986,350310.8333333334,182086.65628772916,248957.75,128250.63800637389,45649.708333333336,37468.87960618866
McLean,renter,sevburden,,15390,1448.4808397336674,6132,955.4368187385617,670.5,296.1820735509725,6812,935.0877765644045,429663.75,232183.68691271124,168134,100568.22331878904,515400,308591.1502099682,683534,402014.5978683862,7297915,1213634.8685966786,1071.3322078684673,90.36187635575698,,,,,,
McLean,renter,noui,vulnerable,2272.5,461.000527137634,1730,409.2207734614826,926,298.5996798265437,854.5,278.5530176225386,2091174.75,913275.8999189683,0,0,0,0,0,0,880295.5,330572.0173157491,1027.7004915016964,161.8818075549525,442673.0833333334,217554.31132732902,442673.0833333334,217554.31132732902,442673.0833333334,217554.31132732902
McLean,renter,lt80ami,vulnerable,2280.5,444.804768595277,1804.5,409.607573261771,1103,337.21163925802057,944.5,286.4409449281286,4829140.25,1755730.0220510513,998100,427324.71650764556,838200,338371.4930695854,1836300,753970.7750738356,924975.5,291480.1103495965,974.9894673539519,104.93016001878198,578502.5416666667,242971.51396010106,437612.91666666674,212726.41704107274,245331.70833333337,169654.67615995184
McLean,renter,lt80ami,,14466,1165.4396371688072,9976,990.7578587954777,1103,344.39162256867576,6416,783.7849948454195,4829140.25,1819330.8157932293,998100,437854.18713734834,838200,347968.7766982997,1836300,774512.1971711884,6553755,854431.0307965586,1021.470542394015,52.25835182515675,,,,,,
McLean,owner,,,112991,2710.3843320306914,60665,2017.7026016859963,4724,594.5284778205005,42415,1567.0639039173693,17193657.083333332,3177831.7407413907,3691422,705352.3828434851,3240600,534829.1022193152,6932022,1217958.32047055,0,0,0,0,,,,,,
McLean,renter,,vulnerable,6956.5,881.4877963812578,5134.5,753.4456767534657,3117.5,605.5936613420631,2755.5,534.363588039445,7412790.416666667,1961218.0913241552,1762402,503229.8306046347,2344200,581936.0145569164,4106602,1033823.4702687506,2524906,562071.1798576089,921.4541672710695,94.60469860910712,1586341.5833333335,399936.6485035417,1252139.0416666667,351559.6421904508,560345.875,238508.62776993262
McLean,renter,,,52755,2472.4097532023297,30101,1906.785421103803,3117.5,617.8754894998965,23744,1599.8269672897586,7412790.416666667,2014777.4443674823,1762402,514899.1133878152,2344200,600116.0609247289,4106602,1065181.229039088,21373561,1719102.3182041273,900.1668210916442,35.76215663868129,,,,,,
McLean,,,,165746,3675.895023205958,90766,2779.979657630829,7841.5,858.0938239485731,66159,2244.4839151341002,24606447.5,3840198.8626780733,5453824,884974.978473518,5584800,807482.5361313149,11038624,1633020.133862488,21373561,1762739.384695001,900.1668210916442,35.75584270243428,,,,,,
